raw_tag,canonical_id,brick_class,equipment_type,equipment_id,point_role,subsystem,zone_id,unit,param_key,description
facility/a/zone/2/occ,facility/a/zone/2/occ,Occupancy_Sensor,Variable_Air_Volume_Box,Building_Main,sensor,environment,zone_2,count,none,Standard Occupancy_Sensor point for Building_Main in zone_2
Bldg1Z02AreaSqm,Bldg1Z02AreaSqm,Floor_Area_Parameter,Variable_Air_Volume_Box,Building_Main,parameter,thermal_model,zone_2,m2,floor_area_sqm,Standard Floor_Area_Parameter point for Building_Main in zone_2
CampusEngAhu3FanStat,CampusEngAhu3FanStat,Fan_Status,Air_Handling_Unit,Building_Main,status,hvac,unassigned,unknown,none,Standard Fan_Status point for Building_Main in unassigned
HOSPITAL_MAIN_VAV_EAST_DMPR_POS,HOSPITAL_MAIN_VAV_EAST_DMPR_POS,Damper_Position_Command,Variable_Air_Volume_Box,Building_Main,command,hvac,zone_4,ratio,none,Standard Damper_Position_Command point for Building_Main in zone_4
datacenter/west/ahu3/fan/pwr/kw,datacenter/west/ahu3/fan/pwr/kw,Electric_Power_Sensor,Air_Handling_Unit,Building_Main,meter,electrical,unassigned,kW,none,Standard Electric_Power_Sensor point for Building_Main in unassigned
CampusEngSolarGhiSens,CampusEngSolarGhiSens,Solar_Radiance_Sensor,Building,Building_Main,sensor,environment,unassigned,W/m2,none,Standard Solar_Radiance_Sensor point for Building_Main in unassigned
Hospital_Main_Ahu1_Fan_Stat,Hospital_Main_Ahu1_Fan_Stat,Fan_Status,Air_Handling_Unit,Building_Main,status,hvac,unassigned,unknown,none,Standard Fan_Status point for Building_Main in unassigned
bldg1_chlr1_setpoint,bldg1_chlr1_setpoint,Chilled_Water_Supply_Temperature_Setpoint,Chiller,Chiller_1,setpoint,hvac,unassigned,deg_C,none,Standard Chilled_Water_Supply_Temperature_Setpoint point for Chiller_1 in unassigned
FACILITY_A_ZN4_OCCUPANCY_COUNT,FACILITY_A_ZN4_OCCUPANCY_COUNT,Occupancy_Sensor,Variable_Air_Volume_Box,Building_Main,sensor,environment,zone_4,count,none,Standard Occupancy_Sensor point for Building_Main in zone_4
DATACENTER/WEST/VAV/PERIM/W/DAMPER/CMD,DATACENTER/WEST/VAV/PERIM/W/DAMPER/CMD,Damper_Position_Command,Variable_Air_Volume_Box,Building_Main,command,hvac,zone_5,ratio,none,Standard Damper_Position_Command point for Building_Main in zone_5
DATACENTER_WEST_SOUTH_AIR_TEMP_SP,DATACENTER_WEST_SOUTH_AIR_TEMP_SP,Zone_Air_Temperature_Setpoint,Variable_Air_Volume_Box,Building_Main,setpoint,hvac,zone_3,deg_C,none,Standard Zone_Air_Temperature_Setpoint point for Building_Main in zone_3
TOWER_NORTH_VAV_EAST_DMPR_POS,TOWER_NORTH_VAV_EAST_DMPR_POS,Damper_Position_Command,Variable_Air_Volume_Box,Building_Main,command,hvac,zone_4,ratio,none,Standard Damper_Position_Command point for Building_Main in zone_4
hq solar ghi sens,hq solar ghi sens,Solar_Radiance_Sensor,Building,Building_Main,sensor,environment,unassigned,W/m2,none,Standard Solar_Radiance_Sensor point for Building_Main in unassigned
BLDG1.VAV.Z2.DAMPER.CMD,BLDG1.VAV.Z2.DAMPER.CMD,Damper_Position_Command,Variable_Air_Volume_Box,Building_Main,command,hvac,zone_2,ratio,none,Standard Damper_Position_Command point for Building_Main in zone_2
tower_north_vav_z02_damper_cmd,tower_north_vav_z02_damper_cmd,Damper_Position_Command,Variable_Air_Volume_Box,Building_Main,command,hvac,zone_2,ratio,none,Standard Damper_Position_Command point for Building_Main in zone_2
CAMPUS-ENG-Z4-RH-SENS,CAMPUS-ENG-Z4-RH-SENS,Relative_Humidity_Sensor,Variable_Air_Volume_Box,Building_Main,sensor,environment,zone_4,%,none,Standard Relative_Humidity_Sensor point for Building_Main in zone_4
DATACENTER_WEST_CHLR1_CHW_STPT,DATACENTER_WEST_CHLR1_CHW_STPT,Chilled_Water_Supply_Temperature_Setpoint,Chiller,Chiller_1,setpoint,hvac,unassigned,deg_C,none,Standard Chilled_Water_Supply_Temperature_Setpoint point for Chiller_1 in unassigned
HospitalMainVavZ3AirFlow,HospitalMainVavZ3AirFlow,Air_Flow_Sensor,Variable_Air_Volume_Box,Building_Main,sensor,hvac,zone_3,m3/s,none,Standard Air_Flow_Sensor point for Building_Main in zone_3
FacilityAChlr1Setpoint,FacilityAChlr1Setpoint,Chilled_Water_Supply_Temperature_Setpoint,Chiller,Chiller_1,setpoint,hvac,unassigned,deg_C,none,Standard Chilled_Water_Supply_Temperature_Setpoint point for Chiller_1 in unassigned
HqZ03OccupancyCount,HqZ03OccupancyCount,Occupancy_Sensor,Variable_Air_Volume_Box,Building_Main,sensor,environment,zone_3,count,none,Standard Occupancy_Sensor point for Building_Main in zone_3
DatacenterWestZ1AirTempSp,DatacenterWestZ1AirTempSp,Zone_Air_Temperature_Setpoint,Variable_Air_Volume_Box,Building_Main,setpoint,hvac,zone_1,deg_C,none,Standard Zone_Air_Temperature_Setpoint point for Building_Main in zone_1
TOWER-NORTH-ZONE-3-STPT,TOWER-NORTH-ZONE-3-STPT,Zone_Air_Temperature_Setpoint,Variable_Air_Volume_Box,Building_Main,setpoint,hvac,zone_3,deg_C,none,Standard Zone_Air_Temperature_Setpoint point for Building_Main in zone_3
Bldg1Z4CmParam,Bldg1Z4CmParam,Thermal_Capacitance_Mass_Parameter,Variable_Air_Volume_Box,Building_Main,parameter,thermal_model,zone_4,kJ/K,C_m,Standard Thermal_Capacitance_Mass_Parameter point for Building_Main in zone_4
HQ Z01 RM PARAM,HQ Z01 RM PARAM,Mass_Thermal_Resistance_Parameter,Variable_Air_Volume_Box,Building_Main,parameter,thermal_model,zone_1,K/kW,R_m,Standard Mass_Thermal_Resistance_Parameter point for Building_Main in zone_1
HQ_OAT,HQ_OAT,Outside_Air_Temperature_Sensor,Building,Building_Main,sensor,environment,unassigned,deg_C,none,Standard Outside_Air_Temperature_Sensor point for Building_Main in unassigned
FACILITY.A.VAV.Z5.DMPR.POS,FACILITY.A.VAV.Z5.DMPR.POS,Damper_Position_Command,Variable_Air_Volume_Box,Building_Main,command,hvac,zone_5,ratio,none,Standard Damper_Position_Command point for Building_Main in zone_5
BLDG1_ZN1_RM_PARAM,BLDG1_ZN1_RM_PARAM,Mass_Thermal_Resistance_Parameter,Variable_Air_Volume_Box,Building_Main,parameter,thermal_model,zone_1,K/kW,R_m,Standard Mass_Thermal_Resistance_Parameter point for Building_Main in zone_1
TOWER.NORTH.VAV.PERIM.W.DAMPER.CMD,TOWER.NORTH.VAV.PERIM.W.DAMPER.CMD,Damper_Position_Command,Variable_Air_Volume_Box,Building_Main,command,hvac,zone_5,ratio,none,Standard Damper_Position_Command point for Building_Main in zone_5
HOSPITAL MAIN Z1 CZ PARAM,HOSPITAL MAIN Z1 CZ PARAM,Thermal_Capacitance_Air_Parameter,Variable_Air_Volume_Box,Building_Main,parameter,thermal_model,zone_1,kJ/K,C_z,Standard Thermal_Capacitance_Air_Parameter point for Building_Main in zone_1
bldg1 ahu1 sat sp,bldg1 ahu1 sat sp,Supply_Air_Temperature_Setpoint,Air_Handling_Unit,Building_Main,setpoint,hvac,unassigned,deg_C,none,Standard Supply_Air_Temperature_Setpoint point for Building_Main in unassigned
tower.north.perim.s.air.temp.sp,tower.north.perim.s.air.temp.sp,Zone_Air_Temperature_Setpoint,Variable_Air_Volume_Box,Building_Main,setpoint,hvac,zone_3,deg_C,none,Standard Zone_Air_Temperature_Setpoint point for Building_Main in zone_3
DATACENTER_WEST_Z03_AREA_SQM,DATACENTER_WEST_Z03_AREA_SQM,Floor_Area_Parameter,Variable_Air_Volume_Box,Building_Main,parameter,thermal_model,zone_3,m2,floor_area_sqm,Standard Floor_Area_Parameter point for Building_Main in zone_3
Bldg1_Main_Mtr_Kw,Bldg1_Main_Mtr_Kw,Electric_Power_Sensor,Building,Building_Main,meter,electrical,unassigned,kW,none,Standard Electric_Power_Sensor point for Building_Main in unassigned
HOSPITAL MAIN MAIN MTR KW,HOSPITAL MAIN MAIN MTR KW,Electric_Power_Sensor,Building,Building_Main,meter,electrical,unassigned,kW,none,Standard Electric_Power_Sensor point for Building_Main in unassigned
BLDG1.CHLR2.ELEC.KW,BLDG1.CHLR2.ELEC.KW,Electric_Power_Sensor,Chiller,Chiller_2,meter,electrical,unassigned,kW,none,Standard Electric_Power_Sensor point for Chiller_2 in unassigned
TOWER/NORTH/VAV/PERIM/E/DAT/SP,TOWER/NORTH/VAV/PERIM/E/DAT/SP,Discharge_Air_Temperature_Setpoint,Variable_Air_Volume_Box,Building_Main,setpoint,hvac,zone_4,deg_C,none,Standard Discharge_Air_Temperature_Setpoint point for Building_Main in zone_4
FacilityAZone5Stpt,FacilityAZone5Stpt,Zone_Air_Temperature_Setpoint,Variable_Air_Volume_Box,Building_Main,setpoint,hvac,zone_5,deg_C,none,Standard Zone_Air_Temperature_Setpoint point for Building_Main in zone_5
Tower North Vav Zn3 Dmpr Pos,Tower North Vav Zn3 Dmpr Pos,Damper_Position_Command,Variable_Air_Volume_Box,Building_Main,command,hvac,zone_3,ratio,none,Standard Damper_Position_Command point for Building_Main in zone_3
BLDG1-Z05-AREA-SQM,BLDG1-Z05-AREA-SQM,Floor_Area_Parameter,Variable_Air_Volume_Box,Building_Main,parameter,thermal_model,zone_5,m2,floor_area_sqm,Standard Floor_Area_Parameter point for Building_Main in zone_5
HospitalMainZone2OccupancyCount,HospitalMainZone2OccupancyCount,Occupancy_Sensor,Variable_Air_Volume_Box,Building_Main,sensor,environment,zone_2,count,none,Standard Occupancy_Sensor point for Building_Main in zone_2
HQ.CHLR1.CHW.STPT,HQ.CHLR1.CHW.STPT,Chilled_Water_Supply_Temperature_Setpoint,Chiller,Chiller_1,setpoint,hvac,unassigned,deg_C,none,Standard Chilled_Water_Supply_Temperature_Setpoint point for Chiller_1 in unassigned
BLDG1 CHLR1 CHW SUP T,BLDG1 CHLR1 CHW SUP T,Chilled_Water_Supply_Temperature_Sensor,Chiller,Chiller_1,sensor,hvac,unassigned,deg_C,none,Standard Chilled_Water_Supply_Temperature_Sensor point for Chiller_1 in unassigned
campus eng ahu3 sat sp,campus eng ahu3 sat sp,Supply_Air_Temperature_Setpoint,Air_Handling_Unit,Building_Main,setpoint,hvac,unassigned,deg_C,none,Standard Supply_Air_Temperature_Setpoint point for Building_Main in unassigned
TOWER.NORTH.FLOOR1.Z4.SOLAR.FRAC,TOWER.NORTH.FLOOR1.Z4.SOLAR.FRAC,Solar_Factor_Parameter,Variable_Air_Volume_Box,Building_Main,parameter,thermal_model,zone_4,ratio,solar_factor,Standard Solar_Factor_Parameter point for Building_Main in zone_4
HQ/AHU1/FAN/STAT,HQ/AHU1/FAN/STAT,Fan_Status,Air_Handling_Unit,Building_Main,status,hvac,unassigned,unknown,none,Standard Fan_Status point for Building_Main in unassigned
BLDG1 VAV ZONE 1 DAMPER CMD,BLDG1 VAV ZONE 1 DAMPER CMD,Damper_Position_Command,Variable_Air_Volume_Box,Building_Main,command,hvac,zone_1,ratio,none,Standard Damper_Position_Command point for Building_Main in zone_1
HOSPITAL/MAIN/Z01/TEMP/SP,HOSPITAL/MAIN/Z01/TEMP/SP,Zone_Air_Temperature_Setpoint,Variable_Air_Volume_Box,Building_Main,setpoint,hvac,zone_1,deg_C,none,Standard Zone_Air_Temperature_Setpoint point for Building_Main in zone_1
HospitalMainSolarIrrad,HospitalMainSolarIrrad,Solar_Radiance_Sensor,Building,Building_Main,sensor,environment,unassigned,W/m2,none,Standard Solar_Radiance_Sensor point for Building_Main in unassigned
HOSPITAL/MAIN/CHLR2/CHW/RET/T,HOSPITAL/MAIN/CHLR2/CHW/RET/T,Chilled_Water_Return_Temperature_Sensor,Chiller,Chiller_2,sensor,hvac,unassigned,deg_C,none,Standard Chilled_Water_Return_Temperature_Sensor point for Chiller_2 in unassigned
tower north solar irrad,tower north solar irrad,Solar_Radiance_Sensor,Building,Building_Main,sensor,environment,unassigned,W/m2,none,Standard Solar_Radiance_Sensor point for Building_Main in unassigned
FACILITY_A_OUTDOOR_TEMP_SENS,FACILITY_A_OUTDOOR_TEMP_SENS,Outside_Air_Temperature_Sensor,Building,Building_Main,sensor,environment,unassigned,deg_C,none,Standard Outside_Air_Temperature_Sensor point for Building_Main in unassigned
tower-north-ahu2-sat-sp,tower-north-ahu2-sat-sp,Supply_Air_Temperature_Setpoint,Air_Handling_Unit,Building_Main,setpoint,hvac,unassigned,deg_C,none,Standard Supply_Air_Temperature_Setpoint point for Building_Main in unassigned
FACILITY_A_AHU2_FAN_STAT,FACILITY_A_AHU2_FAN_STAT,Fan_Status,Air_Handling_Unit,Building_Main,status,hvac,unassigned,unknown,none,Standard Fan_Status point for Building_Main in unassigned
datacenter/west/outdoor/temp/sens,datacenter/west/outdoor/temp/sens,Outside_Air_Temperature_Sensor,Building,Building_Main,sensor,environment,unassigned,deg_C,none,Standard Outside_Air_Temperature_Sensor point for Building_Main in unassigned
TowerNorthAhu2FanPwrKw,TowerNorthAhu2FanPwrKw,Electric_Power_Sensor,Air_Handling_Unit,Building_Main,meter,electrical,unassigned,kW,none,Standard Electric_Power_Sensor point for Building_Main in unassigned
TOWER_NORTH_CHLR1_CHW_SUP_T,TOWER_NORTH_CHLR1_CHW_SUP_T,Chilled_Water_Supply_Temperature_Sensor,Chiller,Chiller_1,sensor,hvac,unassigned,deg_C,none,Standard Chilled_Water_Supply_Temperature_Sensor point for Chiller_1 in unassigned
CAMPUS ENG CHLR1 CHW STPT,CAMPUS ENG CHLR1 CHW STPT,Chilled_Water_Supply_Temperature_Setpoint,Chiller,Chiller_1,setpoint,hvac,unassigned,deg_C,none,Standard Chilled_Water_Supply_Temperature_Setpoint point for Chiller_1 in unassigned
HOSPITAL/MAIN/CHLR2/SETPOINT,HOSPITAL/MAIN/CHLR2/SETPOINT,Chilled_Water_Supply_Temperature_Setpoint,Chiller,Chiller_2,setpoint,hvac,unassigned,deg_C,none,Standard Chilled_Water_Supply_Temperature_Setpoint point for Chiller_2 in unassigned
DatacenterWestZ1AreaSqm,DatacenterWestZ1AreaSqm,Floor_Area_Parameter,Variable_Air_Volume_Box,Building_Main,parameter,thermal_model,zone_1,m2,floor_area_sqm,Standard Floor_Area_Parameter point for Building_Main in zone_1
HOSPITAL/MAIN/FLOOR1/Z5/SOLAR/FRAC,HOSPITAL/MAIN/FLOOR1/Z5/SOLAR/FRAC,Solar_Factor_Parameter,Variable_Air_Volume_Box,Building_Main,parameter,thermal_model,zone_5,ratio,solar_factor,Standard Solar_Factor_Parameter point for Building_Main in zone_5
CAMPUS_ENG_AHU1_FLTR_DP,CAMPUS_ENG_AHU1_FLTR_DP,Filter_Differential_Pressure_Sensor,Air_Handling_Unit,Building_Main,sensor,hvac,unassigned,kPa,none,Standard Filter_Differential_Pressure_Sensor point for Building_Main in unassigned
tower.north.chlr2.power.kw,tower.north.chlr2.power.kw,Electric_Power_Sensor,Chiller,Chiller_2,meter,electrical,unassigned,kW,none,Standard Electric_Power_Sensor point for Chiller_2 in unassigned
CAMPUS/ENG/FLOOR1/Z1/RH/SENS,CAMPUS/ENG/FLOOR1/Z1/RH/SENS,Relative_Humidity_Sensor,Variable_Air_Volume_Box,Building_Main,sensor,environment,zone_1,%,none,Standard Relative_Humidity_Sensor point for Building_Main in zone_1
Bldg1MainMtrKw,Bldg1MainMtrKw,Electric_Power_Sensor,Building,Building_Main,meter,electrical,unassigned,kW,none,Standard Electric_Power_Sensor point for Building_Main in unassigned
CampusEngZone4Co2Ppm,CampusEngZone4Co2Ppm,CO2_Level_Sensor,Variable_Air_Volume_Box,Building_Main,sensor,environment,zone_4,ppm,none,Standard CO2_Level_Sensor point for Building_Main in zone_4
HQ-CHLR1-SETPOINT,HQ-CHLR1-SETPOINT,Chilled_Water_Supply_Temperature_Setpoint,Chiller,Chiller_1,setpoint,hvac,unassigned,deg_C,none,Standard Chilled_Water_Supply_Temperature_Setpoint point for Chiller_1 in unassigned
hq/floor1/z1/area/sqm,hq/floor1/z1/area/sqm,Floor_Area_Parameter,Variable_Air_Volume_Box,Building_Main,parameter,thermal_model,zone_1,m2,floor_area_sqm,Standard Floor_Area_Parameter point for Building_Main in zone_1
HospitalMainCoreStpt,HospitalMainCoreStpt,Zone_Air_Temperature_Setpoint,Variable_Air_Volume_Box,Building_Main,setpoint,hvac,zone_1,deg_C,none,Standard Zone_Air_Temperature_Setpoint point for Building_Main in zone_1
Tower_North_Chlr2_Chw_Stpt,Tower_North_Chlr2_Chw_Stpt,Chilled_Water_Supply_Temperature_Setpoint,Chiller,Chiller_2,setpoint,hvac,unassigned,deg_C,none,Standard Chilled_Water_Supply_Temperature_Setpoint point for Chiller_2 in unassigned
BLDG1_AHU3_SAT_SP,BLDG1_AHU3_SAT_SP,Supply_Air_Temperature_Setpoint,Air_Handling_Unit,Building_Main,setpoint,hvac,unassigned,deg_C,none,Standard Supply_Air_Temperature_Setpoint point for Building_Main in unassigned
campus_eng_ahu2_fan_kw,campus_eng_ahu2_fan_kw,Electric_Power_Sensor,Air_Handling_Unit,Building_Main,meter,electrical,unassigned,kW,none,Standard Electric_Power_Sensor point for Building_Main in unassigned
hospital-main-main-mtr-kw,hospital-main-main-mtr-kw,Electric_Power_Sensor,Building,Building_Main,meter,electrical,unassigned,kW,none,Standard Electric_Power_Sensor point for Building_Main in unassigned
FACILITY.A.FLOOR1.Z3.RAT,FACILITY.A.FLOOR1.Z3.RAT,Zone_Air_Temperature_Sensor,Variable_Air_Volume_Box,Building_Main,sensor,hvac,zone_3,deg_C,none,Standard Zone_Air_Temperature_Sensor point for Building_Main in zone_3
DatacenterWestAhu3SupplyTemp,DatacenterWestAhu3SupplyTemp,Supply_Air_Temperature_Sensor,Air_Handling_Unit,Building_Main,sensor,hvac,unassigned,deg_C,none,Standard Supply_Air_Temperature_Sensor point for Building_Main in unassigned
BLDG1_FLOOR1_Z4_TEMP_SENS,BLDG1_FLOOR1_Z4_TEMP_SENS,Zone_Air_Temperature_Sensor,Variable_Air_Volume_Box,Building_Main,sensor,hvac,zone_4,deg_C,none,Standard Zone_Air_Temperature_Sensor point for Building_Main in zone_4
DATACENTER.WEST.CHLR1.POWER.KW,DATACENTER.WEST.CHLR1.POWER.KW,Electric_Power_Sensor,Chiller,Chiller_1,meter,electrical,unassigned,kW,none,Standard Electric_Power_Sensor point for Chiller_1 in unassigned
HOSPITAL-MAIN-ZN5-CZ-PARAM,HOSPITAL-MAIN-ZN5-CZ-PARAM,Thermal_Capacitance_Air_Parameter,Variable_Air_Volume_Box,Building_Main,parameter,thermal_model,zone_5,kJ/K,C_z,Standard Thermal_Capacitance_Air_Parameter point for Building_Main in zone_5
Bldg1Z01Rat,Bldg1Z01Rat,Zone_Air_Temperature_Sensor,Variable_Air_Volume_Box,Building_Main,sensor,hvac,zone_1,deg_C,none,Standard Zone_Air_Temperature_Sensor point for Building_Main in zone_1
HqZ2AreaSqm,HqZ2AreaSqm,Floor_Area_Parameter,Variable_Air_Volume_Box,Building_Main,parameter,thermal_model,zone_2,m2,floor_area_sqm,Standard Floor_Area_Parameter point for Building_Main in zone_2
DatacenterWestZ1AreaSqm,DatacenterWestZ1AreaSqm,Floor_Area_Parameter,Variable_Air_Volume_Box,Building_Main,parameter,thermal_model,zone_1,m2,floor_area_sqm,Standard Floor_Area_Parameter point for Building_Main in zone_1
Bldg1/Ahu1/Fan/Pwr/Kw,Bldg1/Ahu1/Fan/Pwr/Kw,Electric_Power_Sensor,Air_Handling_Unit,Building_Main,meter,electrical,unassigned,kW,none,Standard Electric_Power_Sensor point for Building_Main in unassigned
CAMPUS ENG CHLR1 CHW SUP T,CAMPUS ENG CHLR1 CHW SUP T,Chilled_Water_Supply_Temperature_Sensor,Chiller,Chiller_1,sensor,hvac,unassigned,deg_C,none,Standard Chilled_Water_Supply_Temperature_Sensor point for Chiller_1 in unassigned
HQ/Z1/RAT,HQ/Z1/RAT,Zone_Air_Temperature_Sensor,Variable_Air_Volume_Box,Building_Main,sensor,hvac,zone_1,deg_C,none,Standard Zone_Air_Temperature_Sensor point for Building_Main in zone_1
CAMPUS.ENG.Z01.ROOM.TEMP,CAMPUS.ENG.Z01.ROOM.TEMP,Zone_Air_Temperature_Sensor,Variable_Air_Volume_Box,Building_Main,sensor,hvac,zone_1,deg_C,none,Standard Zone_Air_Temperature_Sensor point for Building_Main in zone_1
bldg1.ahu2.sat,bldg1.ahu2.sat,Supply_Air_Temperature_Sensor,Air_Handling_Unit,Building_Main,sensor,hvac,unassigned,deg_C,none,Standard Supply_Air_Temperature_Sensor point for Building_Main in unassigned
HOSPITAL.MAIN.CHLR2.CHW.SUP.T,HOSPITAL.MAIN.CHLR2.CHW.SUP.T,Chilled_Water_Supply_Temperature_Sensor,Chiller,Chiller_2,sensor,hvac,unassigned,deg_C,none,Standard Chilled_Water_Supply_Temperature_Sensor point for Chiller_2 in unassigned
Datacenter.West.Zone.3.Rh.Sens,Datacenter.West.Zone.3.Rh.Sens,Relative_Humidity_Sensor,Variable_Air_Volume_Box,Building_Main,sensor,environment,zone_3,%,none,Standard Relative_Humidity_Sensor point for Building_Main in zone_3
datacenter/west/ahu2/fan/pwr/kw,datacenter/west/ahu2/fan/pwr/kw,Electric_Power_Sensor,Air_Handling_Unit,Building_Main,meter,electrical,unassigned,kW,none,Standard Electric_Power_Sensor point for Building_Main in unassigned
tower north z01 rext param,tower north z01 rext param,Envelope_Thermal_Resistance_Parameter,Variable_Air_Volume_Box,Building_Main,parameter,thermal_model,zone_1,K/kW,R_ext,Standard Envelope_Thermal_Resistance_Parameter point for Building_Main in zone_1
FACILITY.A.ZONE.4.TEMP.SP,FACILITY.A.ZONE.4.TEMP.SP,Zone_Air_Temperature_Setpoint,Variable_Air_Volume_Box,Building_Main,setpoint,hvac,zone_4,deg_C,none,Standard Zone_Air_Temperature_Setpoint point for Building_Main in zone_4
facility/a/zn5/air/temp/sp,facility/a/zn5/air/temp/sp,Zone_Air_Temperature_Setpoint,Variable_Air_Volume_Box,Building_Main,setpoint,hvac,zone_5,deg_C,none,Standard Zone_Air_Temperature_Setpoint point for Building_Main in zone_5
