point_name,value,unit,description
Z03_SOUTH_TEMP_SP,21.5,deg_C,Zone 3 Perimeter South temperature setpoint
AHU1_Z03_VAV_DAT_SP,21.5,deg_C,Zone 3 VAV discharge air temperature setpoint
AHU1_Z03_VAV_DMPR_POS,0.65,ratio,Zone 3 VAV damper position command
Z03_SOUTH_OCC_COUNT,15,count,Zone 3 Perimeter South occupant count
Z03_SOUTH_CZ_PARAM,12000.0,kJ/K,Zone 3 air thermal capacitance Cz
Z03_SOUTH_CM_PARAM,70000.0,kJ/K,Zone 3 structural mass capacitance Cm
Z03_SOUTH_REXT_PARAM,1.6,K/kW,Zone 3 envelope thermal resistance Rext
Z03_SOUTH_RM_PARAM,0.6,K/kW,Zone 3 air-to-mass thermal resistance Rm
Z03_SOUTH_AREA_SQM,180.0,m2,Zone 3 South floor area
Z03_SOUTH_SOLAR_FRAC,0.35,ratio,Zone 3 South solar gain penetration factor
Z04_EAST_AIR_TEMP,22.2,deg_C,Zone 4 Perimeter East room air temperature
Z04_EAST_TEMP_SP,22.5,deg_C,Zone 4 Perimeter East temperature setpoint
AHU1_Z04_VAV_DAT_SP,22.5,deg_C,Zone 4 VAV discharge air temperature setpoint
AHU1_Z04_VAV_DMPR_POS,0.80,ratio,Zone 4 VAV damper position command
Z04_EAST_OCC_COUNT,10,count,Zone 4 Perimeter East occupant count
Z04_EAST_CZ_PARAM,11000.0,kJ/K,Zone 4 air thermal capacitance Cz
Z04_EAST_CM_PARAM,65000.0,kJ/K,Zone 4 structural mass capacitance Cm
Z04_EAST_REXT_PARAM,1.7,K/kW,Zone 4 envelope thermal resistance Rext
Z04_EAST_RM_PARAM,0.6,K/kW,Zone 4 air-to-mass thermal resistance Rm
Z04_EAST_AREA_SQM,160.0,m2,Zone 4 East floor area
Z04_EAST_SOLAR_FRAC,0.25,ratio,Zone 4 East solar gain penetration factor
Z05_WEST_AIR_TEMP,22.6,deg_C,Zone 5 Perimeter West room air temperature
Z05_WEST_TEMP_SP,22.0,deg_C,Zone 5 Perimeter West temperature setpoint
AHU1_Z05_VAV_DAT_SP,22.0,deg_C,Zone 5 VAV discharge air temperature setpoint
AHU1_Z05_VAV_DMPR_POS,0.55,ratio,Zone 5 VAV damper position command
Z05_WEST_OCC_COUNT,14,count,Zone 5 Perimeter West occupant count
Z05_WEST_CZ_PARAM,11000.0,kJ/K,Zone 5 air thermal capacitance Cz
Z05_WEST_CM_PARAM,65000.0,kJ/K,Zone 5 structural mass capacitance Cm
Z05_WEST_REXT_PARAM,1.7,K/kW,Zone 5 envelope thermal resistance Rext
Z05_WEST_RM_PARAM,0.6,K/kW,Zone 5 air-to-mass thermal resistance Rm
Z05_WEST_AREA_SQM,160.0,m2,Zone 5 West floor area
Z05_WEST_SOLAR_FRAC,0.25,ratio,Zone 5 West solar gain penetration factor
Z01_Z02_RADJ_PARAM,1.2,K/kW,Inter-zone thermal resistance between Zone 1 and Zone 2
Z01_Z03_RADJ_PARAM,1.2,K/kW,Inter-zone thermal resistance between Zone 1 and Zone 3
Z01_Z04_RADJ_PARAM,1.2,K/kW,Inter-zone thermal resistance between Zone 1 and Zone 4
Z01_Z05_RADJ_PARAM,1.2,K/kW,Inter-zone thermal resistance between Zone 1 and Zone 5
